TITULO;PRECIO;ENVIO;ESTADO;CALIFICACION;LINK
iPhone X 64gb;$140.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1137653196-iphone-x-64gb-_JM#position=50&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X 64gb Space Grace;$149.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1138429044-iphone-x-64gb-space-grace-_JM#position=39&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
 iPhone X 64 Gb  Plata ;$149.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1286562635-iphone-x-64-gb-plata-_JM#position=19&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS 64gb;$160.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-914734975-iphone-xs-64gb-_JM#position=51&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X Space Gray 64gb Cargador Cable Funda Glass;$176.500;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1348142872-iphone-x-space-gray-64gb-cargador-cable-funda-glass-_JM#position=13&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X 64gb Space Gray Cargador Cable Funda Glass;$176.500;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1348142839-iphone-x-64gb-space-gray-cargador-cable-funda-glass-_JM#position=10&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X - 256 - 100% Batería + Accesorios;$179.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1143344781-iphone-x-256-100-bateria-accesorios-_JM#position=41&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Celular iPhone X 256 Gb;$180.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1132693115-celular-iphone-x-256-gb-_JM#position=46&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS Max 64gb Gold Cargador Cable Funda Glass;$186.300;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1160961604-apple-iphone-xs-max-64gb-gold-cargador-cable-funda-glass-_JM#position=3&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS 64gb Silver Cargador Cable Funda Glass;$186.300;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1161051111-apple-iphone-xs-64gb-silver-cargador-cable-funda-glass-_JM#position=12&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS 64gb Space Gray Cargador Cable Funda Glass ;$186.300;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1175044412-apple-iphone-xs-64gb-space-gray-cargador-cable-funda-glass-_JM#position=6&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS Max 64gb Silver Cargador Cable Funda Glass;$186.300;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1160905355-apple-iphone-xs-max-64gb-silver-cargador-cable-funda-glass-_JM#position=14&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Celular Apple iPhone X De 256gb Nuevo Original Garantía;$189.000;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-1240824288-celular-apple-iphone-x-de-256gb-nuevo-original-garantia-_JM#position=43&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Celular iPhone X Nuevo De 256gb Entrega Inmediata;$189.000;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-1166799208-celular-iphone-x-nuevo-de-256gb-entrega-inmediata-_JM#position=28&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Celular Apple iPhone X Nuevo De 64gb /256gb Local;$195.000;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-1281716925-celular-apple-iphone-x-nuevo-de-64gb-256gb-local-_JM#position=25&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone X 256gb Space Grey Cargador Cable Funda Glass;$198.100;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146136249-apple-iphone-x-256gb-space-grey-cargador-cable-funda-glass-_JM#position=5&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X Space Gray 256gb Cargador Cable Funda Glass;$216.375;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1330406784-iphone-x-space-gray-256gb-cargador-cable-funda-glass-_JM#position=35&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS 256gb Gold Cargador Cable Funda Glass;$219.262;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146130367-apple-iphone-xs-256gb-gold-cargador-cable-funda-glass-_JM#position=9&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS 256gb Space Gray Cargador Cable Funda Glass;$219.262;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1242343122-apple-iphone-xs-256gb-space-gray-cargador-cable-funda-glass-_JM#position=18&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS Silver 64gb Cargador Cable Funda Glass;$223.600;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1242356092-apple-iphone-xs-silver-64gb-cargador-cable-funda-glass-_JM#position=15&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS Space Gray 64gb Cargador Cable Funda Glass;$223.600;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1243152341-apple-iphone-xs-space-gray-64gb-cargador-cable-funda-glass-_JM#position=4&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X Space Gray 64gb Cargador Cable Funda Glass Premium;$229.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1348142883-iphone-x-space-gray-64gb-cargador-cable-funda-glass-premium-_JM#position=22&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X 64gb Space Grey Cargador Cable Funda Glass Premium;$229.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146175296-iphone-x-64gb-space-grey-cargador-cable-funda-glass-premium-_JM#position=37&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone X 64gb Silver Cargador Cable Funda Glass ;$232.499;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1184720217-apple-iphone-x-64gb-silver-cargador-cable-funda-glass-_JM#position=31&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS Space Gray 256gb Cargador Cable Funda Glass;$232.671;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1242343123-apple-iphone-xs-space-gray-256gb-cargador-cable-funda-glass-_JM#position=30&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Celular iPhone X, Flamante!! 256gb + Funda Y Templado;$238.999;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1198915067-celular-iphone-x-flamante-256gb-funda-y-templado-_JM#position=16&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS 256gb Garantía Apple Celular Envíos Stock Inmediat;$239.000;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-1357137280-iphone-xs-256gb-garantia-apple-celular-envios-stock-inmediat-_JM#position=40&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS Max 64gb Gold Cargador Cable Funda Glass Cuota;$241.740;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1161000293-iphone-xs-max-64gb-gold-cargador-cable-funda-glass-cuota-_JM#position=29&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS 64gb Space Cargador Cable Funda Glass Cuota;$241.740;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1175031501-apple-iphone-xs-64gb-space-cargador-cable-funda-glass-cuota-_JM#position=21&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS Max 64gb Silver Cargador Cable Funda Glass Cuota;$241.740;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1160763877-iphone-xs-max-64gb-silver-cargador-cable-funda-glass-cuota-_JM#position=20&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS 64gb Silver Cargador Cable Funda Glass Cuota;$241.740;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1160905164-apple-iphone-xs-64gb-silver-cargador-cable-funda-glass-cuota-_JM#position=36&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS Max 512gb Space Gray Cargador Cable Funda Glass;$255.600;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1332184600-iphone-xs-max-512gb-space-gray-cargador-cable-funda-glass-_JM#position=17&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X 256gb Space Grey Cargador Cable Funda Glass Premium;$257.080;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146188391-iphone-x-256gb-space-grey-cargador-cable-funda-glass-premium-_JM#position=7&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS Space 64gb Cargador Cable Funda Glass;$260.900;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1275672565-apple-iphone-xs-space-64gb-cargador-cable-funda-glass-_JM#position=44&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS Silver 64gb Cargador Cable Funda Glass;$260.900;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1275398214-apple-iphone-xs-silver-64gb-cargador-cable-funda-glass-_JM#position=38&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS Max 256gb Space Gray Cargador Cable Funda Glass;$265.632;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1160885694-iphone-xs-max-256gb-space-gray-cargador-cable-funda-glass-_JM#position=11&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS Max 256gb Silver Cargador Cable Funda Glass;$265.632;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146162785-apple-iphone-xs-max-256gb-silver-cargador-cable-funda-glass-_JM#position=8&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X Space Gray 256gb Cargador Cable Glass Premium;$280.837;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1330478241-iphone-x-space-gray-256gb-cargador-cable-glass-premium-_JM#position=34&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS 256gb Space Gray Cargador Cable Funda Glass Cuota;$284.590;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1242375605-iphone-xs-256gb-space-gray-cargador-cable-funda-glass-cuota-_JM#position=33&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS 256gb Gold Cargador Cable Funda Glass Premiu;$284.590;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146156369-apple-iphone-xs-256gb-gold-cargador-cable-funda-glass-premiu-_JM#position=24&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS Space Gray 64gb Cargador Cable Funda Glass Cuota;$290.230;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1243243017-iphone-xs-space-gray-64gb-cargador-cable-funda-glass-cuota-_JM#position=27&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS Silver 64gb Cargador Cable Funda Glass Cuota;$290.230;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1242317141-apple-iphone-xs-silver-64gb-cargador-cable-funda-glass-cuota-_JM#position=47&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS Space Gray 256gb Cargador Cable Funda Glass Cuota;$302.022;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1242323567-iphone-xs-space-gray-256gb-cargador-cable-funda-glass-cuota-_JM#position=45&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS Max 512gb Space Gray Cargador Cable Funda Premium;$331.830;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1332132524-iphone-xs-max-512gb-space-gray-cargador-cable-funda-premium-_JM#position=23&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS 64gb Space Cable Funda Glass Bateria 90% Premium;$338.720;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1275672575-iphone-xs-64gb-space-cable-funda-glass-bateria-90-premium-_JM#position=42&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS 64gb Silver Cable Funda Glass Bateria 90% Premium;$338.720;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1275417148-iphone-xs-64gb-silver-cable-funda-glass-bateria-90-premium-_JM#position=49&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS Max 256gb Space Gray Cargador Cable Funda Cuota;$344.871;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1161051056-iphone-xs-max-256gb-space-gray-cargador-cable-funda-cuota-_JM#position=26&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS Max 256gb Silver Cargador Cable Funda Glass Cuota;$344.871;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146188913-iphone-xs-max-256gb-silver-cargador-cable-funda-glass-cuota-_JM#position=32&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Samsung Galaxy A03 Core 32 GB  black 2 GB RAM;$41.999;Sin envio gratuito;Nuevo;1662;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=kq5eQI%2BoJ9ra3ruHSDS6k7ov7uu5dDK7uPFh7LSOY1wCj9GxDO48b6NxXwK%2F8PKAZ%2BObKxFIXSFywpX1KrXCNtgIOgfYJAXJwS%2Bpw3Tg3P2mr7xEbQ07bWmbH%2BaSx6buxH8Waf%2BYIWPx9wXF%2B4GMWKvoEP1p%2F0hzQYCgGKjMNJGtbUTENajmpbW2F5AHouHG2bZW%2F7x4VoTwrxnx3mLl%2BqkDPL%2FFs7Cso%2B75hgD%2B8aA8Na4y27uBV5RBxVux0CVvMror4O2sgqefeAOSoGpP%2B7ZImI%2BPo%2FOzDTcH5TGSMf3Dqkmz1%2FeJrZQQYNY72xSJNpar%2BZlh7CdELsg8uBqCJEoVf9J19cRtVtN8qMBKilWZsXtc5npK6QYaGofVa6tmTwKGG%2B57TEahLNu8jOQRjj0ChvvUaIkMw1TRKuEsfwWpJDw9iga5gvJ7aYkj7SrzhI7p4hiF2UENkGfKyYTr0JhHfLSM%2B5kdNqidsVgnynl5C5OY9%2BZArZow8EsIx3MR3AinL3pXE%2BJyhYx8wAdO4AaL4QatOSP40hkOMl8SQTQHyuL%2BrEYeDpY1qaObytWWAgaUPEMDUBRiOq%2F%2BDsJ4zOn9kKr9fnUm7wau4G3o8DNFvt59bilv3RMl2FUrL7NyW7%2F7PFtp%2FjRUaGALJZGjkKgScYwQdzrG589g6%2BglB2V5gEZrzCFqQRBoNbsFEVL1rKTB8dfehPYgMG9ZnQSe2WhS7tjLJpEfMUjzgA6brBu%2Fuu5%2BWY7EUIy91agsHqpn8xqzHj12qu%2FYw62VgVhnd%2FF8O1F8Gi3e5ey0PJcMMQ%3D%3D&rb=x
 iPhone X 64 Gb  Gris Espacial Bateria 100,caja Completo.;$567.899;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1201724077-iphone-x-64-gb-gris-espacial-bateria-100caja-completo-_JM#position=48&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Celular Samsung Galaxy A13 128gb + 4gb Ram Pls Lcd Negro;$77.999;Sin envio gratuito;Nuevo;3249;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=efdTReD0ag%2FmzOy2twGO2mLZc%2FL%2BFS7H4H3BQ0Jix3mTZiFoG9m0VGNEfcXjVCTfBeRvIB%2BFVs28OB9kReEk1%2Bh4D0CJC9XsTBGMYGBvIS2YQJw4IDTa9hxpCdkzFjsw89RkgCkFHTZ6cfjlRm9%2BcwqvvNYuPn4U7NM7Zkisf3b40qsXd0cTit24p2glT7MII9M%2FJuR9Itu8Rp2IRPR%2Bo%2BRqM64J%2BNsekJtQxXKZWV2Rvu97lTPwLDMaiiRs%2F5W4%2B7Z%2BIBiLZ%2F9CcNvGOqkN8B1HX9d0nAtzDLo3fsKsoOGhW6f9D%2Botn8MWlruO4uYZ%2F2V8xTq3fC%2FUabacRl%2FnSxW6%2BfnkBBcfV37gGhVQWBECSb0WStAYRXjHpCgSkzU%2FP8ne4xpVmS5Fh1AMRh76Bhxr%2FYyDdK%2BkGakyh%2B8ZrjJN6OWCPpZ8flru0nWeNbMhRvpsV5%2ByKCq5eNKbwEBxzNIdL%2FNpFWS0WFNoWTNi3QFPKISqfQr8VTI6GwXI0hvouL5q7dnPk%2Bq%2BpqirPPJG4hRueE4hdLpbrSzPR5u0Ft7FkyZ6lMwVZIeIhWP2C0LJ6itT9SCLZhHvYl8quPNmkeHuz5EkQlb1d0NvJkx%2Fk%2Bl%2BDPcJHpoJB7OF1JrMq%2BIb0sf4Qh1kV%2Ba7pNTksVkwLFNdKHNsliXCr6Q7BMOpZQS7bJW4Mh0GzZGZqOeaevcw%2Be2LkIzewfO2E%2FU2kdZk0Vx4KYD4aPFh1elcvxUwznXVWgOB01k9cTCQ8J6QyOGkGPFGAsRWz80qWbKApm2xZxfAM4x2ufU1NO9SWWaIyh7gbmPQHvikIDQ2Uw%3D%3D&rb=x
