TITULO;PRECIO;ENVIO;ESTADO;LINK
Notebook Asus Vivobook 15 M1502ia-bq146w Ryzen 5 8gb 512gb;$254.299;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1280840369-notebook-asus-vivobook-15-m1502ia-bq146w-ryzen-5-8gb-512gb-_JM#position=55&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Asus X515ea Core I5 Ram 8gb Ssd 256gb W11;$254.929;Envío gratis;Nuevo;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=skegPOyTOIZoAZ%2B7FM%2B4Xu7E%2BCqan18psR%2BSdL2q3ClcBm7%2B53DNZm1F3FRKMTSuHo54WKEhPspbD1jux6f63gziAY5ctXlq%2Fg9%2B0a5u6jNGMgJ7YDzIpjyksEUvfmAD7mo8d3yclFSTsrwNRYBS6Zx8TiDptgqJ%2B6slPLAhn8U960wH%2FhK006sgaX26gS84fr1aFIvT9rq8UlsXjoIdiyFvNbaUasffhDfKHF5943SE3xs6cpFlvSp5Hl7FXLLgsq493RsxUijZXHZJ226OfjSM06Wf3RXcsNUF%2FiQg7OPgSffkq2zDkXydVUrnuDfJ0DPw0pkklfVO%2FDGvKhlKh6l68rzvnhvtmNZkTzDVjlvrOLZ3%2BH1GXJljjDSB2tO5inF6oHy9vrVtfz%2BnB9DCcznY0AHjBaR%2BD%2BpwTwpLOFN%2Bg4bKUpXJQtvYaBO8FSx91b0UtLqzGlaU%2Bjt%2FUQIXLAZ%2B7bmPwV6HUSPpzkmTd%2F42koppBD6lpqOjsWPCjfV%2BZ51evS3hBsza7NYFtw0blrFhdcLHEGG8gTeMYmIw7vLhtUP4zVZGEFCntObcj%2FhqTd%2Bx7rAs6TdiTL4lla5IglMLrGPdoUW2sazbVKIJSWy7BImKcHZ8ZehRwnZOrMJWhjcDJJsP4rSTPApR2ZIQB%2FXGHIpada5mwYmr%2FkLZUC7uoTnXtj%2BrJ%2Br52BiYZTaD99DDo2LLJbaz&rb=x
"Notebook Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  8GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 96EUs 1920x1080px FreeDOS";$257.499;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-asus-x515ea-slate-gray-156-intel-core-i7-1165g7-8gb-de-ram-512gb-ssd-intel-iris-xe-graphics-g7-96eus-1920x1080px-freedos/p/MLA19854585?pdp_filters=category:MLA1652#searchVariation=MLA19854585&position=21&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook HP 15-dy2054la plateada natural 15.6"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 1366x768px Windows 11 Home";$259.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-hp-15-dy2054la-plateada-natural-156-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-1366x768px-windows-11-home/p/MLA19694803?pdp_filters=category:MLA1652#searchVariation=MLA19694803&position=14&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Dell Inspiron 3511 negra 15.6"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 60 Hz 1920x1080px Linux Ubuntu";$264.989;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-dell-inspiron-3511-negra-156-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-60-hz-1920x1080px-linux-ubuntu/p/MLA19818494?pdp_filters=category:MLA1652#searchVariation=MLA19818494&position=35&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Asus X1502 Intel Core I5 1240p 16gb Ssd 1tb W11;$265.999;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1311302118-notebook-asus-x1502-intel-core-i5-1240p-16gb-ssd-1tb-w11-_JM#position=51&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Lenovo I5-1235u 512gb Ssd 8gb 15.6  Win11 Pro ;$269.599;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1293483810-notebook-lenovo-i5-1235u-512gb-ssd-8gb-156-win11-pro-_JM#position=49&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Lenovo Ryzen 7 5700u 12gb 512gb Ssd 15.6 Fhd Tactil;$271.199;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-lenovo-ryzen-7-5700u-12gb-512gb-ssd-156-fhd-tactil/p/MLA19782007?pdp_filters=category:MLA1652#searchVariation=MLA19782007&position=34&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Lenovo Thinkpad L15 Gen 2 Intel® I7-1165g7 8gb Ram 256gb Ssd;$285.000;Envío gratis;Reacondicionado;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Gjq47TSgdEUwgU8vzz0qMgaGxA46CGy8ZCSpOd4SAerdC3YJv%2Baiot2vFiSaNxRW0Uru2bM%2FDlQ4trDZsZSAhxrnu92%2BYqRjbU5F%2FTH7uqMQ88TNf0vBbGKqWvEXd6zNbfiu4W5QqKaN5jqdcYP2fDmLU3Z5hYfu8CSDOHleqXW4Y1mLRJ58RKQabqe3cWck6by5nGr1Gjz34cmN4eHjQbxZCgtg%2F%2FLqf0yhqPCiPsOSCax%2F8WqP3kB0PsvwCOZ1otlWhTnIMaUmN6u1X5Duuq0GBZ6YU0OZoCb3uIFJO8vamuHOWACUxKVWc8Voz1Qa%2Fk6pIuJZ9Tt2iG34n6fbHQ9BsZzFC%2Fwk6Ks%2FkFlVe8gVgev3UqLsturrBEiO0WOv3gKVQnDFaBpVjA8wCJzkdICcge8guv0cEKcOU8aQ9LjMPG3GMHshN1nzEbjND97%2BGT3tnCavTjW4cMbbbNIOvucNHltpVy2rbODBPwZ7%2BkiDj5sFXeLp9nxokks%2FWAtfwBsbZd%2FCjFKrCFBOu5xdC4WQ2nT2E7%2FVqCQA2Se9b0uJxLROc0T5fQLCuQKsvPZaXfxVJNmZLfZLxHJwKDWZf4RssVohmvpaQmcr8mHjPf1us4CUdCQK3bqlI15IT9dbi%2BQgVm3IBiwsnMn5yUtZWW4ixFoIJk2AGeLmWhBK9bcwC13uFxdFlsadcoMeLJNzR4e3YwBJh1%2BaWvPSTzeeUHPd&rb=x
"Notebook EXO Smart XQ3K-S3882 gris 15.6"", Intel Core i3 8130U  8GB de RAM 256GB SSD, Intel UHD Graphics 620 1920x1080px Windows 11 Home";$298.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-exo-smart-xq3k-s3882-gris-156-intel-core-i3-8130u-8gb-de-ram-256gb-ssd-intel-uhd-graphics-620-1920x1080px-windows-11-home/p/MLA19818469?pdp_filters=category:MLA1652#searchVariation=MLA19818469&position=29&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Enova C141EK7-CI7I-48 negra 14"", Intel Core i7 1065G7  8GB de RAM 480GB SSD, Intel Iris Plus Graphics G7 1920x1080px Windows 10 Home";$299.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-enova-c141ek7-ci7i-48-negra-14-intel-core-i7-1065g7-8gb-de-ram-480gb-ssd-intel-iris-plus-graphics-g7-1920x1080px-windows-10-home/p/MLA18554411?pdp_filters=category:MLA1652#searchVariation=MLA18554411&position=10&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Enova 4 Gb 64gb Ssd 14  Intel N4200 Ultra Book;$350.000;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-enova-4-gb-64gb-ssd-14-intel-n4200-ultra-book/p/MLA20022734?pdp_filters=category:MLA1652#searchVariation=MLA20022734&position=15&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Dell Inspiron 5510 blue 15.6"", Intel Core i5 11320H  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 96EUs 60 Hz 1920x1080px Windows 11 Home";$351.024;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-dell-inspiron-5510-blue-156-intel-core-i5-11320h-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-96eus-60-hz-1920x1080px-windows-11-home/p/MLA18922919?pdp_filters=category:MLA1652#searchVariation=MLA18922919&position=28&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Oro;$358.699;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-oro/p/MLA17828522?pdp_filters=category:MLA1652#searchVariation=MLA17828522&position=5&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Ultrabook Asus ZenBook UX3402ZA ponder azul 14"", Intel Core i5 1240P  16GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 80EUs 90 Hz 2880x1800px Windows 11 Home";$364.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/ultrabook-asus-zenbook-ux3402za-ponder-azul-14-intel-core-i5-1240p-16gb-de-ram-512gb-ssd-intel-iris-xe-graphics-g7-80eus-90-hz-2880x1800px-windows-11-home/p/MLA19818498?pdp_filters=category:MLA1652#searchVariation=MLA19818498&position=18&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Acer Ryzen 7 5700u 20gb 512gb M2 + 1tb 15,6 Fhd;$369.900;Envío gratis;Nuevo;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=vRaTpZT39LjI4GU%2FifD7TIolM2MhlgbhIXP1BrTe1PzGQaHBQ%2BQmDOHkINKi3XXhgz82Ui4hC5F3ntbxMPadhMtwUlD7dXU1ApFwc2LcK1mIgbZ2EhW6JwgqYDIUwccKxd%2FHxJGyqdJqzo2c5S6bRP21h4uHFm%2FydQIIuxk4EFKPpKCueUWThwPy9a6nNzbpgu8uIQe3HRajhjbDBXWTELcT7K4EDwv9zqSkUxt8mSQUWFMQt%2FSQfWYseZ2C3srGBkeKNGtmNfdIrA1gJETr%2BaqNk9bEkKyYVKy5RzsM%2B%2BE%2F5itqTSoGnOedTMbTtpF1W%2Fmelk1zja2GR4hfLntgibZnBVi5RElnw0fGZdxbdXrtbGgHE0vUjZUrIbWrAStXBkQSOx3kLOU%2Bvra9aSAjUMRWMBe47Ek0gVmlApFQLch7QPkfJDFlm5OJLp7g3GfN5kRXIrqsjD6lFkyPfUrZm5bk4EZsgmR2Wxv30dY9oT3OzOlv7cHPuBEU7%2Fzj7SGy30G3XJdST3YxCje5ePVBd5RTbDaGQdcb0YBh%2FxxKqdaLfmlYejVMZcbotswn6U%2FtIwh2lovjnWouO2WABq1t3ErBrfEGCWtvz2BT7FxxRoW7aroce%2BKuODZO4ZuFYgEvT%2FkxZVjDF0zixcDbq9nzAmUU%2FBGi%2Borc13zim1P0L9jS83ZNPvv8jOLtu9GfkyGPG5B4pZQqy9nI7Kg%3D&rb=x
Hp 15 Core I7 512 Ssd + 16gb / Notebook W11 Fhd Touch Outlet;$380.165;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1278630235-hp-15-core-i7-512-ssd-16gb-notebook-w11-fhd-touch-outlet-_JM#position=52&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Asus I7 Vivobook 15 512gb Ssd 16gb Ram 4,7 Ghz;$391.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-asus-i7-vivobook-15-512gb-ssd-16gb-ram-47-ghz/p/MLA21233402?pdp_filters=category:MLA1652#searchVariation=MLA21233402&position=3&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook VAIO FE15 PIK173390 negra 15.6"", Intel Core i7 10510U  8GB de RAM 1TB HDD, Intel UHD Graphics 620 1920x1080px Windows 10 Home";$431.523;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-vaio-fe15-pik173390-negra-156-intel-core-i7-10510u-8gb-de-ram-1tb-hdd-intel-uhd-graphics-620-1920x1080px-windows-10-home/p/MLA18622487?pdp_filters=category:MLA1652#searchVariation=MLA18622487&position=38&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"MacBook Air M2 2022 starlight 13.6"", Apple M2  8GB de RAM 256GB SSD, Apple M2 8-Core GPU 2560x1664px macOS";$488.000;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/macbook-air-m2-2022-starlight-136-apple-m2-8gb-de-ram-256gb-ssd-apple-m2-8-core-gpu-2560x1664px-macos/p/MLA19563443?pdp_filters=category:MLA1652#searchVariation=MLA19563443&position=16&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Dell Inspiron Touch Screen 2-in-1 Ryzen7  Ram 16gb Ssd 512gb;$500.000;Envío gratis;Nuevo;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Boj0FY2PGPq89DJp6TpesOijdC20q0omsQ%2FQfTeygNlNg1q0nTp21ZkIPl3i83p4gysD8FTLMhjK%2FFFPJ62lrwsKQGvLl7Jl0HaXshyfoDE8ZLPtwAdVHeQoCPnA78r%2FgAT2qXbWU9TYPiygA7kRYa1dKaq7fkJRc1cGtkiZh8z%2FwSJTfKZYMvlxYjJ4k%2BbvaQL3DygBghWFoQrhXn0jM2QtauiBFR6EpXlTzZWmgYXovE58nfq5siAr0H954QG219p%2B73JpXEyVp%2BlvlJAWTbeDFQV1ylgUX9%2BS%2FZKZ1E4R3d72T%2Fs6fg91SLSlWks0LItSplNyZBFO3V2QveWZ7icIx%2F0ng6E2k%2BLoxjqYda5mo3a0iXSG5TNUPTMSLjvmHcQPni4j80ed1YB61P8y6c4oMpQ6H0OFf0%2FwlG%2FlTWsRrNiaMPBb2PMabwpFlGzPcTwjgap9Y3QVEg20FdQPEvqhGNsiS9yVHURwDm%2B3OPb2m5Y3DrLji4%2BHjkIF32v3JWQfJroAbd8gNqD6%2BXRff8Pd8uZuZmt%2FMsOQa4VxFNF4ZTLbWxDaxg9u4nnW8mMJKjZqrNn0OF%2FYmp4HCwT8Uo11VK7xN58JJXU5dm3mtFSr9qZ2jeL8JFXTZLWmQ2qZPdEG%2BY7zswq%2B7vwMwjDqDHYJNjEo0gPUCQz06gm%2FBFzUqzsKDcYsBeP48A%2FuJBc37YLjtvzmJfAB7d2NUA%3D%3D&rb=x
"Notebook Oryx Smart-Pro gris 14.1"", Intel celeron N3350  4GB de RAM 64GB SSD, Intel HD Graphics 500 1366x768px Windows 10 Home";$63.859;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-oryx-smart-pro-gris-141-intel-celeron-n3350-4gb-de-ram-64gb-ssd-intel-hd-graphics-500-1366x768px-windows-10-home/p/MLA21076634?pdp_filters=category:MLA1652#searchVariation=MLA21076634&position=33&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Dell Cromebook 11 3189 Touchscreen Laptop 2in1 11,6''4gb32gb;$64.999;Envío gratis;Reacondicionado;https://articulo.mercadolibre.com.ar/MLA-1341716156-dell-cromebook-11-3189-touchscreen-laptop-2in1-1164gb32gb-_JM#position=42&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Positivo BGH AT AT300N silver 14"", Intel Atom Z8350  2GB de RAM 32GB SSD 1366x768px Windows 10 Home";$69.305;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-positivo-bgh-at-at300n-silver-14-intel-atom-z8350-2gb-de-ram-32gb-ssd-1366x768px-windows-10-home/p/MLA19379210?pdp_filters=category:MLA1652#searchVariation=MLA19379210&position=22&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Hp Probook 640 G2 ;$80.000;Envío gratis;Reacondicionado;https://articulo.mercadolibre.com.ar/MLA-1309807709-notebook-hp-probook-640-g2-_JM#position=48&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Gadnic 15.6  Intel 4gb 64gb Windows Home+funda+acc;$84.999;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1161003793-notebook-gadnic-156-intel-4gb-64gb-windows-homefundaacc-_JM#position=46&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Hp Probook 645 G4 R3 256 Ssd 8 Gb Ram;$90.000;Envío gratis;Reacondicionado;https://articulo.mercadolibre.com.ar/MLA-1313929914-notebook-hp-probook-645-g4-r3-256-ssd-8-gb-ram-_JM#position=50&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
